City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
189,Grasse,FR,2021-08-08 22:31:48,43.6667,6.9167,68.2,37,0,2.3,clear sky
190,Port Hedland,AU,2021-08-08 22:31:48,-20.3167,118.5667,55.45,67,6,1.14,clear sky
191,Srednekolymsk,RU,2021-08-08 22:31:49,67.45,153.6833,66.65,42,15,4.81,few clouds
192,Huarmey,PE,2021-08-08 22:31:49,-10.0681,-78.1522,64.72,80,7,12.57,clear sky
193,Along,IN,2021-08-08 22:31:50,28.1667,94.7667,76.35,99,98,0.85,overcast clouds
194,Kaitangata,NZ,2021-08-08 22:31:50,-46.2817,169.8464,41.56,80,90,10.49,overcast clouds
195,Ribeira Grande,PT,2021-08-08 22:31:51,38.5167,-28.7,72.77,87,60,15.59,broken clouds
196,Faanui,PF,2021-08-08 22:31:51,-16.4833,-151.75,78.96,77,20,12.91,few clouds
197,Bandarbeyla,SO,2021-08-08 22:31:51,9.4942,50.8122,76.33,83,61,27.07,broken clouds
198,Tuatapere,NZ,2021-08-08 22:31:52,-46.1333,167.6833,39.81,93,98,4.9,overcast clouds
199,Lebu,CL,2021-08-08 22:31:52,-37.6167,-73.65,44.82,82,5,5.86,clear sky
200,Stepnoye,RU,2021-08-08 22:31:53,51.4,46.8667,76.68,34,97,9.84,overcast clouds
201,Klaksvik,FO,2021-08-08 22:27:41,62.2266,-6.589,50.92,94,95,6.11,overcast clouds
202,Artigas,UY,2021-08-08 22:31:53,-30.4,-56.4667,70.41,65,32,8.37,scattered clouds
203,Kisangani,CD,2021-08-08 22:31:54,0.5167,25.2,70.7,78,24,0.56,few clouds
204,Preobrazheniye,RU,2021-08-08 22:26:58,42.9019,133.9064,66.18,76,100,14.45,overcast clouds
205,Moree,AU,2021-08-08 22:31:54,-29.4667,149.85,50.02,87,75,9.22,broken clouds
206,Pisco,PE,2021-08-08 22:31:55,-13.7,-76.2167,64.45,72,40,16.11,scattered clouds
207,Husavik,IS,2021-08-08 22:31:55,66.0449,-17.3389,53.51,86,38,2.35,scattered clouds
208,Yulara,AU,2021-08-08 22:31:56,-25.2406,130.9889,37.24,56,0,5.75,clear sky
209,Plymouth,US,2021-08-08 22:31:56,41.8334,-70.8328,80.62,79,1,4.61,clear sky
210,Hailar,CN,2021-08-08 22:31:56,49.2,119.7,63.0,90,100,8.01,overcast clouds
211,Olds,CA,2021-08-08 22:29:15,51.7834,-114.102,64.63,45,96,9.22,overcast clouds
212,Hithadhoo,MV,2021-08-08 22:31:57,-0.6,73.0833,79.81,77,99,3.38,overcast clouds
213,Alofi,NU,2021-08-08 22:31:57,-19.0595,-169.9187,76.89,88,100,9.22,light rain
214,Gotsu,JP,2021-08-08 22:31:58,35.0,132.2167,75.85,97,100,40.06,overcast clouds
215,Itoman,JP,2021-08-08 22:31:58,26.1247,127.6694,80.98,96,75,11.5,broken clouds
216,Aromashevo,RU,2021-08-08 22:31:59,56.8602,68.6375,60.08,96,47,8.1,scattered clouds
217,Beloha,MG,2021-08-08 22:27:37,-25.1667,45.05,61.27,90,0,5.73,clear sky
218,Labrea,BR,2021-08-08 22:32:00,-7.2586,-64.7981,83.68,36,23,1.81,few clouds
219,Siena,IT,2021-08-08 22:32:00,43.2167,11.4,73.96,70,5,2.01,clear sky
220,Naze,JP,2021-08-08 22:32:00,28.3667,129.4833,79.72,82,7,11.59,clear sky
221,Baykit,RU,2021-08-08 22:32:01,61.67,96.37,57.85,88,98,1.63,light rain
222,Champerico,GT,2021-08-08 22:32:02,14.3,-91.9167,83.35,80,94,3.91,overcast clouds
223,Urumqi,CN,2021-08-08 22:27:32,43.801,87.6005,74.35,33,0,6.71,clear sky
224,Rolla,US,2021-08-08 22:32:02,37.9514,-91.7713,74.93,89,20,7.0,moderate rain
225,Westport,US,2021-08-08 22:32:03,41.1415,-73.3579,80.29,88,90,0.0,overcast clouds
226,Bellevue,US,2021-08-08 22:28:14,47.6104,-122.2007,75.88,51,75,4.0,broken clouds
227,Puerto Plata,DO,2021-08-08 22:32:03,19.7934,-70.6884,87.64,70,40,11.5,scattered clouds
228,Pevek,RU,2021-08-08 22:32:04,69.7008,170.3133,37.94,79,19,11.61,few clouds
229,Bathsheba,BB,2021-08-08 22:32:04,13.2167,-59.5167,83.01,78,20,18.41,few clouds
230,Ostrovnoy,RU,2021-08-08 22:32:04,68.0531,39.5131,49.42,78,0,7.63,clear sky
231,Minsk,BY,2021-08-08 22:32:05,53.9,27.5667,67.75,96,45,4.97,scattered clouds
232,Saint-Philippe,RE,2021-08-08 22:32:05,-21.3585,55.7679,67.55,85,32,9.53,scattered clouds
233,Kozhva,RU,2021-08-08 22:32:06,65.1073,57.0459,46.67,98,85,6.6,overcast clouds
234,Georgetown,MY,2021-08-08 22:32:06,5.4112,100.3354,82.89,84,20,5.75,few clouds
235,Am Timan,TD,2021-08-08 22:32:07,11.0297,20.2827,68.76,93,93,1.05,overcast clouds
236,Bengkulu,ID,2021-08-08 22:32:07,-3.8004,102.2655,75.88,87,55,3.51,broken clouds
237,Baijiantan,CN,2021-08-08 22:32:08,45.6333,85.1833,78.46,27,21,3.58,few clouds
238,Puro,PH,2021-08-08 22:32:08,12.4841,123.3827,81.43,81,100,4.38,overcast clouds
239,Gidole,ET,2021-08-08 22:32:08,5.65,37.3667,60.62,63,99,2.48,overcast clouds
