City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
602,Havelock,US,84.15,broken clouds,34.8791,-76.9013,Sherwood Motel
607,Gizo,SB,82.22,scattered clouds,-8.103,156.8419,Imagination Island
609,Sao Miguel Do Araguaia,BR,78.24,clear sky,-13.275,-50.1628,Hotel Executivo Palace
610,Mastic Beach,US,75.24,moderate rain,40.7668,-72.8521,Brushwood House by Smith Point Beach
611,Sedhiou,SN,75.24,overcast clouds,12.7081,-15.5569,Auberge Cheznous
613,Razole,IN,81.72,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
615,Eureka,US,83.68,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
616,Ocos,GT,87.98,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
622,Trairi,BR,79.11,clear sky,-3.2778,-39.2689,janelas do mar
624,Fortuna,US,88.2,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
625,Tukrah,LY,78.96,clear sky,32.5341,20.5791,Lokta restaurant
630,Port Said,EG,82.38,clear sky,31.2565,32.2841,Aracan Hotel
631,Axim,GH,76.1,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
632,Changji,CN,77.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
636,Balykshi,KZ,80.6,clear sky,47.0667,51.8667,Гостиница Golden Rose
637,Nabire,ID,76.82,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
638,Sibolga,ID,75.85,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
641,Porto-Vecchio,FR,76.53,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
643,Spanish Town,JM,85.68,scattered clouds,17.9911,-76.9574,Shan's Cloud
647,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
652,Alta Floresta,BR,83.5,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
655,Hirara,JP,78.66,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
656,Sterling,US,89.76,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
657,Labuhan,ID,77.09,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
661,Tabou,CI,75.65,light rain,4.423,-7.3528,hotêl doufoulougou
662,Bolobo,CD,78.71,overcast clouds,-2.1667,16.2333,Hotel de Stephen
668,Kieta,PG,82.4,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
